county,i_score,unauthorized_population,daca_population,,,,
"Los Angeles, CA",4,1060000,180000,,,,
"Harris, TX",6,376000,68000,,,,
"Cook, IL",1,325000,58000,,,,
"Orange, CA",6,270000,48000,,,,
"Queens, NY",2,232000,28000,,,,
"Dallas, TX",6,231000,42000,,,,
"San Diego, CA",6,207000,38000,,,,
"Maricopa, AZ",5,172000,39000,,,,
"Kings, NY",2,172000,22000,,,,
"Riverside, CA",4,161000,31000,,,,
"Miami-Dade-Monroe, FL",6,151000,23000,,,,
"San Bernardino, CA",4,140000,28000,,,,
"Boston Area NECTA, MA",5,139000,18000,,,,
"Santa Clara, CA",3,133000,23000,,,,
"Bronx, NY",6,113000,13000,,,,
"Clark, NV",6,106000,21000,,,,
"Alameda, CA",4,105000,17000,,,,
"Hidalgo, TX",6,100000,21000,,,,
"Tarrant, TX",6,99000,18000,,,,
"Fairfax, VA",6,94000,13000,,,,
"Montgomery, MD",4,87000,11000,,,,
"Fresno, CA",4,85000,18000,,,,
"Broward, FL",6,84000,14000,,,,
"Hudson, NJ",8,77000,10000,,,,
"King, WA",4,77000,12000,,,,
"Prince Georges, MD",3,77000,10000,,,,
"New York, NY",2,76000,7000,,,,
"Gwinnett, GA",7,76000,15000,,,,
"Kern, CA",4,75000,15000,,,,
"Travis, TX",5,75000,14000,,,,
"Bexar, TX",6,71000,13000,,,,
"Monterey-San Benito, CA",4,69000,15000,,,,
"Palm Beach, FL",5,67000,12000,,,,
"El Paso, TX",7,66000,9000,,,,
"Contra Costa, CA",4,65000,12000,,,,
"Ventura, CA",4,63000,12000,,,,
"Suburban Denver, CO",2,62000,9000,,,,
"Westchester, NY",6,61000,8000,,,,
"Middlesex, NJ",3,60000,9000,,,,
"Sacramento, CA",4,60000,13000,,,,
"Essex, NJ",7,58000,7000,,,,
"San Mateo, CA",4,57000,9000,,,,
"Bergen, NJ",7,56000,9000,,,,
"Mecklenburg, NC",8,54000,8000,,,,
"Fairfield, CT",5,53000,7000,,,,
"San Joaquin, CA",4,52000,11000,,,,
"Suffolk, NY",6,51000,7000,,,,
"Tulare, CA",3,49000,11000,,,,
"Union, NJ",6,49000,7000,,,,
"De Kalb, GA",6,49000,8000,,,,